id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
44254128,Double Room in Bavarian 4* Hotel,97932492,Park Hotel,,Laim,48.13378,11.51039,Private room,74,1,3,2020-10-10,0.33,4,243
44255379,Studio zwischen Altstadtring und Theresienwiese,58325051,Jacqueline,,Ludwigsvorstadt-Isarvorstadt,48.13594,11.5619,Entire home/apt,59,7,4,2021-01-31,0.37,1,5
44258317,"Quiet, Historic Apartment with Garden",21787393,Audrey,,Schwabing-West,48.16017,11.56082,Private room,55,1,0,,,1,6
44260730,Gesamtes Sonniges Loft direkt an der Isar,29896576,Kai & Toni,,Au-Haidhausen,48.1264,11.58299,Entire home/apt,299,1,5,2020-08-30,0.44,2,0
44263757,Wunderschöne 2 Zi. Wohnung mit Garten,356759714,Vivien,,Bogenhausen,48.16335,11.62536,Entire home/apt,50,1,0,,,1,16
44271016,"Cosy studio flat in Neuhausen, Munich",356848169,Noel,,Neuhausen-Nymphenburg,48.15666,11.53824,Entire home/apt,40,28,2,2020-09-30,0.25,1,211
44272170,"Gesellig, gemütlich ||
Ruhiges Schlafzimmer",8563234,Alexandra,,Obergiesing,48.11582,11.59281,Private room,26,2,6,2020-10-05,0.53,3,0
44287362,Möblierte Apartments in Obersendling,355651144,SDI Campus,,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.09808,11.53092,Entire home/apt,55,4,9,2020-09-28,0.87,4,38
44290754,Big room in attic with good connection to bus etc.,342760256,Cristina,,Aubing-Lochhausen-Langwied,48.15094,11.43168,Private room,34,4,0,,,1,0
44291511,Maisonette-Wohnung mit Dachterrasse in Schwabing,15680169,Torben,,Schwabing-West,48.16032,11.57277,Private room,75,2,1,2020-07-21,0.09,2,94
44309121,CABIN FEELING IN UNTERSENDLING,356912571,Ulrich,,Sendling-Westpark,48.11553,11.53241,Entire home/apt,72,2,0,,,1,0
44315219,COZY APARTMENT IN SCHWABING AT THE CANAL,356272341,Lea,,Schwabing-Freimann,48.17564,11.58187,Entire home/apt,66,2,2,2020-08-15,0.18,1,0
44319001,Rhapsody In Roof * Central * New,150173398,Vincent,,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.09866,11.53268,Entire home/apt,300,2,3,2020-08-11,0.28,2,347
44327894,Microappartment direkt an der Messe München,89382768,Dagi,,Tudering-Riem,48.13839,11.67995,Entire home/apt,35,10,0,,,1,60
44331385,Stilvolles Dachgeschoß 2 Zimmer,357435637,Barbara,,Bogenhausen,48.15004,11.63908,Private room,95,5,6,2021-06-15,0.59,1,257
44332604,Cozy flat with Garden and WiFi ♥️,357629143,Elena,,Ramersdorf-Perlach,48.1037,11.61625,Entire home/apt,45,3,1,2020-09-19,0.11,2,25
44335481,Luxury Studio in the centre of Munich,357660956,Fiona,,Altstadt-Lehel,48.13818,11.57058,Entire home/apt,220,7,0,,,1,91
44338304,Möbiliertes Zimmer in 2-netter WG in Berlin,11768037,Pramudita,,Berg am Laim,48.12632,11.63507,Private room,19,20,0,,,1,0
44344761,STAY IN THE HEART OF MUNICH - CLOSE TO HOTSPOTS!,357711264,Tim,,Altstadt-Lehel,48.13746,11.58042,Entire home/apt,360,2,0,,,1,0
44356134,Tausend und eine Nacht,357851933,Chiara,,Maxvorstadt,48.15149,11.56845,Private room,19,2,2,2020-08-30,0.19,1,0
44357552,"Stylish, new studio near BMW.",81914984,Eirini,,Milbertshofen-Am Hart,48.20225,11.57658,Entire home/apt,70,2,0,,,1,0
44385429,Apartment with extra bed 28 qm² kitchentte & WiFi,196550623,Hanna,,Maxvorstadt,48.1429,11.5603,Private room,258,1,0,,,7,330
44385459,Apartment with extra bed 28 qm² kitchentte & WiFi,196550623,Hanna,,Maxvorstadt,48.14198,11.55943,Private room,260,1,2,2021-04-03,0.66,7,330
44390750,Zentrale Wohnung 7mn to central station,24571344,Tata,,Maxvorstadt,48.14993,11.55458,Entire home/apt,120,1,11,2021-06-20,1.01,1,267
44392308,Moderne Einzimmerwohnung im Herzen von München,58331101,Loris,,Schwabing-Freimann,48.16268,11.58832,Entire home/apt,79,1,5,2020-10-18,0.56,1,0
44400233,Super Lage !,358317028,Jasmin,,Maxvorstadt,48.14856,11.56301,Entire home/apt,80,1,0,,,1,70
44409888,Munich City Appartement,358530503,Dan,,Neuhausen-Nymphenburg,48.14923,11.53197,Entire home/apt,65,1,0,,,1,0
44413613,Stylish and cosy home for families,16326034,Andra,,Laim,48.13514,11.49143,Entire home/apt,79,3,2,2020-08-22,0.18,1,28
44417374,"Exclusively furnished, stylish 1 room apartment",147104137,Christoph,,Au-Haidhausen,48.1277,11.59195,Entire home/apt,49,5,0,,,1,22
44424932,Ruhig und Zentral in München,69547933,Romy,,Laim,48.13652,11.50994,Private room,65,2,0,,,1,88
44431287,"Romantische 2,5 Zi Altbau in München-Bogenhausen",352121938,Lana,,Bogenhausen,48.15026,11.60453,Entire home/apt,82,7,0,,,1,73
44432262,Nice and quiet apartment in a great location,89199935,Ron,,Obergiesing,48.1126,11.57731,Entire home/apt,99,7,0,,,3,179
44445149,2 Rooms Apartement in the heart of Munich!,125412265,Kuhlmann,,Au-Haidhausen,48.12763,11.6026,Entire home/apt,80,2,0,,,1,365
